Registrar Name;RAA;;;Country;Accredited TLDs
New Great Domains, Inc.;2009;1;1;Anguilla;.biz .com .info .name .net .org .pro
Dattatec.com SRL;2009;1;3;Argentina;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
ELSERVER SRL;2009;1;;Argentina;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Virtucom Networks S.A.;2009;1;;Argentina;.com .net
Above.com Pty Ltd.;2009;1;16;Australia;.biz .com .info .name .net .org .pro
AusRegistry Group Pty Ltd;2009;1;;Australia;.biz .com .info .name .net .org
Bottle Domains, Inc.;2009;1;;Australia;.asia .biz .com .info .name .net .org .pro
Domain Central Australia Pty Ltd.;2009;1;;Australia;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Enetica Pty Ltd;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Fabulous.com Pty Ltd;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Instra Corporation Pty Ltd.;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Melbourne IT Ltd;2009;1;;Australia;.asia .biz .com .info .mobi .name .net .org .pro .tel .travel .xxx
MYOB Australia E1 Pty Ltd.;2001;1;;Australia;.biz .com .info .name .net .org .pro
Net Logistics Pty Ltd.;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
NetRegistry Pty Ltd.;2009;1;;Australia;.biz .com .info .net .org
PlanetDomain Pty Ltd;2009;1;;Australia;.asia .biz .com .info .mobi .name .net .org .pro
TPP Domains Pty Ltd. dba TPP Internet;2009;1;;Australia;.asia .biz .com .info .net .org
TPP Wholesale Pty Ltd;2009;1;;Australia;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
VentraIP Group (Australia) Pty Ltd trading as VentraIP Wholesale;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Web IP Pty Ltd.;2009;1;;Australia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Globedom Datenkommunikations GmbH, d/b/a Globedom;2009;1;5;Austria;.biz .com .info .name .net .org .pro .tel
Internet Viennaweb Service GmbH;2009;1;;Austria;.com .info .net .org
Ledl.net GmbH;2009;1;;Austria;.biz .com .info .mobi .name .net .org .pro .tel .travel .xxx
Webagentur.at Internet Services GmbH d/b/a domainname.at;2009;1;;Austria;.biz .com .info .mobi .name .net .org
World4You Internet Services GmbH;2009;1;;Austria;.biz .com .info .net .org
Homestead Limited dba Namevault.com;2001;1;2;Bahamas;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Internet.bs Corp.;2009;1;;Bahamas;.asia .biz .com .info .mobi .name .net .org .pro .tel
NameScout Corp.;2009;1;1;Barbados;.aero .asia .biz .com .info .jobs .mobi .museum .name .net .org .pro .travel .xxx
NameWeb BVBA;2009;1;3;Belgium;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Netbulk NV;2009;1;;Belgium;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Register NV dba Register.eu;2009;1;;Belgium;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
A. Telecom S.A.;2009;1;7;Brazil;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Digirati Informatica Servicos e Telecomunicacoes LTDA dba Hostnet.com;2009;1;;Brazil;.biz .com .info .name .net .org .pro
Internet Group do Brasil S.A.;2009;1;;Brazil;.biz .com .info .name .net .org .pro
Locaweb Servicos de Internet S/A dba LocaWeb;2009;1;;Brazil;.biz .com .info .name .net .org .pro
Nomer Registro de Dominio e Hospedagem de sites Ltda DBA Nomer.com.br;2009;1;;Brazil;.biz .com .info .jobs .mobi .name .net .org .pro .tel .travel
Open System Ltda - Me;2009;1;;Brazil;.biz .com .info .name .net .org .pro
Universo Online S/A (UOL);2009;1;;Brazil;.biz .com .info .name .net .org .pro
AFRIREGISTER S.A.;2009;1;1;Burundi;.biz .com .info .name .net .org .pro
AdoptADomain.net Inc.;2009;1;39;Canada;.asia .biz .com .info .mobi .net .org
AirNames.com Inc.;2009;1;;Canada;.biz .com .info .name .net .org .pro
Alpine Domains Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro .tel
Arctic Names, Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .net .org .tel
Backup.ca Corporation;2009;1;;Canada;.asia .biz .com .info .mobi .net .org
BatDomains.com Ltd.;2009;1;;Canada;.biz .com .info .net .org
BigNamesDomain.com Inc;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro
"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com"")";2001;1;;Canada;.biz .com .info .net .org
Cheapies.com Inc.;2009;1;;Canada;.biz .com .info .net .org
